YEAR,PERIOD,UNIT_CODE,UNIT_TITLE,DELIVERY_UNIT,FULL_PERIOD_NUM,CLASS_SIZE,CLASS_BOXPLOT
2025,H1B4,NBC1101,Maths for builders,NBC1101-2025-H1B4,2025140,24,"{""q1"": 25.0, ""median"": 62.0, ""q3"": 72.5, ""whisker_low"": 0.0, ""whisker_high"": 93.0, ""outliers"": []}"
2025,H1B4,NBC1104,Structural principles in construction,NBC1104-2025-H1B4,2025140,34,"{""q1"": 57.0, ""median"": 66.0, ""q3"": 79.0, ""whisker_low"": 45.0, ""whisker_high"": 91.0, ""outliers"": [19.0]}"
2025,H1B4,NBC1112,Building science,NBC1112-2025-H1B4,2025140,75,"{""q1"": 68.0, ""median"": 74.0, ""q3"": 83.75, ""whisker_low"": 50.0, ""whisker_high"": 94.0, ""outliers"": [39.0, 0.0, 37.0, 26.0, 0.0, 34.0]}"
2025,H1B4,NBC1113,Measurement and estimating,NBC1113-2025-H1B4,2025140,15,"{""q1"": 58.0, ""median"": 64.0, ""q3"": 84.5, ""whisker_low"": 54.0, ""whisker_high"": 92.0, ""outliers"": [0.0]}"
2025,H1B4,NBC2007,Digital and intelligent construction,NBC2007-2025-H1B4,2025140,9,{}
2025,H1B4,NBC2109,Performance based solutions for building,NBC2109-2025-H1B4,2025140,34,"{""q1"": 65.0, ""median"": 68.0, ""q3"": 74.0, ""whisker_low"": 55.0, ""whisker_high"": 85.0, ""outliers"": [50.0, 21.0]}"
2025,H1B4,NBC3001,High rise development and compliance,NBC3001-2025-H1B4,2025140,69,"{""q1"": 74.0, ""median"": 79.0, ""q3"": 83.25, ""whisker_low"": 65.0, ""whisker_high"": 94.0, ""outliers"": [56.0, 0.0, 56.0, 33.0, 0.0, 18.0, 56.0]}"
2025,H1B4,NBC3008,Building surveying project 1,NBC3008-2025-H1B4,2025140,58,"{""q1"": 68.0, ""median"": 73.0, ""q3"": 83.0, ""whisker_low"": 52.0, ""whisker_high"": 96.0, ""outliers"": []}"
2025,H1B4,NBC3009,Building surveying project 2,NBC3009-2025-H1B4,2025140,20,"{""q1"": 63.0, ""median"": 64.0, ""q3"": 80.0, ""whisker_low"": 57.0, ""whisker_high"": 82.0, ""outliers"": [0.0]}"
2025,H1B4,NBC4005,Built environment project 1,NBC4005-2025-H1B4,2025140,30,"{""q1"": 63.0, ""median"": 76.0, ""q3"": 80.0, ""whisker_low"": 50.0, ""whisker_high"": 90.0, ""outliers"": [0.0]}"
2025,H1B4,NBC4006,Built environment project 2,NBC4006-2025-H1B4,2025140,3,{}
2025,H1B4,NBD1100,Built environment communication and skills,NBD1100-2025-H1B4,2025140,19,"{""q1"": 72.5, ""median"": 77.0, ""q3"": 80.5, ""whisker_low"": 62.0, ""whisker_high"": 82.0, ""outliers"": [11.0]}"
2025,H1B4,NBD3001,Risk and safety management,NBD3001-2025-H1B4,2025140,86,"{""q1"": 55.0, ""median"": 69.0, ""q3"": 75.0, ""whisker_low"": 27.0, ""whisker_high"": 95.0, ""outliers"": [0.0, 0.0, 0.0, 12.0]}"
2025,H1B4,NEC2103,Engineering materials & construction,NEC2103-2025-H1B4,2025140,26,"{""q1"": 73.0, ""median"": 76.0, ""q3"": 81.0, ""whisker_low"": 65.0, ""whisker_high"": 91.0, ""outliers"": [0.0, 58.0]}"
2025,H1B4,NEC3103,Hydrology and water resources,NEC3103-2025-H1B4,2025140,27,"{""q1"": 60.5, ""median"": 64.0, ""q3"": 70.0, ""whisker_low"": 55.0, ""whisker_high"": 83.0, ""outliers"": []}"
2025,H1B4,NEE2106,Computer programming for electrical engineers,NEE2106-2025-H1B4,2025140,14,"{""q1"": 74.5, ""median"": 79.5, ""q3"": 83.0, ""whisker_low"": 65.0, ""whisker_high"": 85.0, ""outliers"": [96.0, 60.0]}"
2025,H1B4,NEF1102,Engineering physics 1,NEF1102-2025-H1B4,2025140,33,"{""q1"": 56.0, ""median"": 69.0, ""q3"": 76.0, ""whisker_low"": 52.0, ""whisker_high"": 90.0, ""outliers"": [18.0, 8.0]}"
2025,H1B4,NEF1104,Problem solving for engineers,NEF1104-2025-H1B4,2025140,54,"{""q1"": 62.5, ""median"": 69.0, ""q3"": 74.0, ""whisker_low"": 52.0, ""whisker_high"": 88.0, ""outliers"": [2.0, 41.0, 25.0, 0.0, 2.0]}"
2025,H1B4,NEF3101,Project management,NEF3101-2025-H1B4,2025140,34,"{""q1"": 64.0, ""median"": 70.0, ""q3"": 76.0, ""whisker_low"": 51.0, ""whisker_high"": 86.0, ""outliers"": []}"
2025,H1B4,NEF4101,Research project 1,NEF4101-2025-H1B4,2025140,48,"{""q1"": 70.25, ""median"": 77.0, ""q3"": 82.0, ""whisker_low"": 57.0, ""whisker_high"": 95.0, ""outliers"": [0.0, 0.0, 0.0]}"
2025,H1B4,NEF4201,Research project 2,NEF4201-2025-H1B4,2025140,11,"{""q1"": 0.0, ""median"": 71.0, ""q3"": 83.0, ""whisker_low"": 0.0, ""whisker_high"": 93.0, ""outliers"": []}"
2025,H1B4,NEM2101,Mechanical engineering design,NEM2101-2025-H1B4,2025140,19,"{""q1"": 47.0, ""median"": 60.0, ""q3"": 69.5, ""whisker_low"": 33.0, ""whisker_high"": 80.0, ""outliers"": [10.0, 0.0]}"
2025,H8B2,NAD2001,Architectural design studio 1,NAD2001-2025-H8B2,2025130,29,"{""q1"": 69.5, ""median"": 77.0, ""q3"": 85.0, ""whisker_low"": 51.0, ""whisker_high"": 93.0, ""outliers"": [44.0, 0.0, 0.0, 30.0]}"
